taxon	Feature ID	Taxon
Carinotetraodon travancoricus	MG817403.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Carinotetraodon;Carinotetraodon travancoricus;NA
Carinotetraodon travancoricus	MH631014.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Carinotetraodon;Carinotetraodon travancoricus;NA
Carpiodes carpio	NC_005257.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Carpiodes;Carpiodes carpio;NA
Carpiodes cyprinus	MW856858.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Carpiodes;Carpiodes cyprinus;NA
Catlocarpio siamensis	NC_031523.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Catlocarpio;Catlocarpio siamensis;NA
Catostomus columbianus	NC_066946.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;Catostomus columbianus;NA
Catostomus commersonii	AF333596.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;Catostomus commersonii;NA
Catostomus commersonii	KP013114.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;Catostomus commersonii;NA
Catostomus commersonii	NC_008647.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;Catostomus commersonii;NA
Catostomus macrocheilus	NC_066945.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Catostomus;Catostomus macrocheilus;NA
Caulolatilus cyanops	NC_083163.1	Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus cyanops;NA
Caulolatilus microps	OP056920.1	Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus microps;NA
Cavia porcellus	AF433909.1	Eukaryota;Chordata;Mammalia;Rodentia;Caviidae;Cavia;Cavia porcellus;NA
Cavia porcellus	NC_000884.1	Eukaryota;Chordata;Mammalia;Rodentia;Caviidae;Cavia;Cavia porcellus;NA
Cavia porcellus	NW_026947509.1	Eukaryota;Chordata;Mammalia;Rodentia;Caviidae;Cavia;Cavia porcellus;NA
Centrolabrus exoletus	AF414200.1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Centrolabrus;Centrolabrus exoletus;NA
Centrophorus squamosus	GU130628.1	Eukaryota;Chordata;Chondrichthyes;Squaliformes;Centrophoridae;Centrophorus;Centrophorus squamosus;NA
Centrophorus squamosus	LC193178.2	Eukaryota;Chordata;Chondrichthyes;Squaliformes;Centrophoridae;Centrophorus;Centrophorus squamosus;NA
Centropomus parallelus	NC_087986.1	Eukaryota;Chordata;Actinopteri;NA;Centropomidae;Centropomus;Centropomus parallelus;NA
Centropomus undecimalis	OR582667.1	Eukaryota;Chordata;Actinopteri;NA;Centropomidae;Centropomus;Centropomus undecimalis;NA
Centropristis striata	KX686079.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Centropristis;Centropristis striata;NA
Centropus sinensis	OR102585.1	Eukaryota;Chordata;Aves;Cuculiformes;Centropidae;Centropus;Centropus sinensis;NA
Centroscyllium fabricii	GU130634.1	Eukaryota;Chordata;Chondrichthyes;Squaliformes;Etmopteridae;Centroscyllium;Centroscyllium fabricii;NA
Cephalopholis argus	AY949357.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis argus;NA
Cephalopholis argus	NC_022142.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis argus;NA
Cephalopholis boenak	AY949325.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis boenak;NA
Cephalopholis boenak	NC_021134.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis boenak;NA
Cephalopholis cruentata	AY949385.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis cruentata;NA
Cephalopholis cyanostigma	AY949389.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis cyanostigma;NA
Cephalopholis formosa	AY949370.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis formosa;NA
Cephalopholis fulva	AY949395.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis fulva;NA
Cephalopholis hemistiktos	MH248173.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis hemistiktos;NA
Cephalopholis igarashiensis	AY949326.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis igarashiensis;NA
Cephalopholis leopardus	AY949327.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis leopardus;NA
Cephalopholis miniata	AY949400.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis miniata;NA
Cephalopholis miniata	MW423580.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis miniata;NA
Cephalopholis nigri	KX758570.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis nigri;NA
Cephalopholis oligosticta	KX298703.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis oligosticta;NA
Cephalopholis panamensis	AY949396.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis panamensis;NA
Cephalopholis polleni	AY949371.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis polleni;NA
Cephalopholis sexmaculata	KJ469385.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis sexmaculata;NA
Cephalopholis sonnerati	KU681001.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis sonnerati;NA
Cephalopholis sonnerati	KX298707.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis sonnerati;NA
Cephalopholis sonnerati	NC_022143.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis sonnerati;NA
Cephalopholis spiloparaea	MW560468.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis spiloparaea;NA
Cephalopholis taeniops	AY949387.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis taeniops;NA
Cephalopholis taeniops	KX758566.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis taeniops;NA
Cephalopholis urodeta	NC_030057.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis urodeta;NA
Cephalophorus natalensis	NC_020690.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophorus;Cephalophorus natalensis;NA
Cephalorhynchus commersonii	NC_060610.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Cephalorhynchus;Cephalorhynchus commersonii;NA
Cephalorhynchus heavisidii	JN632624.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Cephalorhynchus;Cephalorhynchus heavisidii;NA
Cervus canadensis	NC_050863.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;Cervus canadensis;NA
Cervus canadensis nannodes	MT430939.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;Cervus canadensis;Cervus canadensis nannodes
