taxon	Feature ID	Taxon
Tragopogon porrifolius	EF374322.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tragopogon;Tragopogon porrifolius;NA;NA;NA
Tragopogon porrifolius subsp. australis	EU392072.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tragopogon;Tragopogon porrifolius;Tragopogon porrifolius subsp. australis;NA;NA
Tragopogon porrifolius subsp. longirostris	EU392079.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tragopogon;Tragopogon porrifolius;Tragopogon porrifolius subsp. longirostris;NA;NA
Trapa natans	NC_042895.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Lythraceae;Trapa;Trapa natans;NA;NA;NA
Trapa natans var. bispinosa	MW065552.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Lythraceae;Trapa;Trapa natans;NA;Trapa natans var. bispinosa;NA
Treculia africana	KU855596.1	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Moraceae;Treculia;Treculia africana;NA;NA;NA
Trichosanthes cucumerina	EU155633.1	Eukaryota;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Trichosanthes;Trichosanthes cucumerina;NA;NA;NA
Trichosanthes pilosa	NC_046884.1	Eukaryota;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Trichosanthes;Trichosanthes pilosa;NA;NA;NA
Trifolium alexandrinum	DQ311723.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium alexandrinum;NA;NA;NA
Trifolium pratense	HQ324065.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium pratense;NA;NA;NA
Trifolium pratense	KU974031.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium pratense;NA;NA;NA
Trifolium pratense	NC_047412.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium pratense;NA;NA;NA
Trifolium repens	AB546814.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium repens;NA;NA;NA
Trifolium repens	NC_024036.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium repens;NA;NA;NA
Trigonella foenum-graecum	NC_042857.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trigonella;Trigonella foenum-graecum;NA;NA;NA
Triphasia trifolia	AY295297.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Triphasia;Triphasia trifolia;NA;NA;NA
Triticum aestivum	KY750540.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum aestivum;NA;NA;NA
Triticum aestivum	NC_002762.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum aestivum;NA;NA;NA
Triticum carthlicum var. fuliginosum	LC375535.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum carthlicum;NA;Triticum carthlicum var. fuliginosum;NA
Triticum dicoccoides	DQ419999.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum dicoccoides;NA;NA;NA
Triticum ispahanicum	EU013663.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum ispahanicum;NA;NA;NA
Triticum macha	NC_025955.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum macha;NA;NA;NA
Triticum monococcum	NC_021760.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum monococcum;NA;NA;NA
Triticum monococcum subsp. aegilopoides	AB732941.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum monococcum;Triticum monococcum subsp. aegilopoides;NA;NA
Triticum spelta	JX456364.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum spelta;NA;NA;NA
Triticum spelta var. duhamelianum	AB732945.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum spelta;NA;Triticum spelta var. duhamelianum;NA
Triticum timopheevii	NC_024764.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum timopheevii;NA;NA;NA
Triticum timopheevii subsp. araraticum	DQ419998.1	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum timopheevii;Triticum timopheevii subsp. araraticum;NA;NA
